x,y,region,home_county,mutual_aid_number,type,accidental_transmitter,date,operational_periods,number_volunteers,total_hours,mileage,total_paid_hours,aircraft_used,area_type,area_type_other,land_ownership,land_ownership_other,number_subjects,category,category_other,age_sub_1,gender_sub_1,fitness_sub_1,experience_sub_1,mental_factor_sub_1,mental_rating_sub_1,age_sub_2,gender_sub_2,fitness_sub_2,experience_sub_2,mental_factor_sub_2,mental_rating_sub_2,age_sub_3,gender_sub_3,fitness_sub_3,experience_sub_3,mental_factor_sub_3,mental_rating_sub_3,age_sub_4,gender_sub_4,fitness_sub_4,experience_sub_4,mental_factor_sub_4,mental_rating_sub_4,age_sub_5,gender_sub_5,fitness_sub_5,experience_sub_5,mental_factor_sub_5,mental_rating_sub_5,group_specifics,number_sub_well,number_sub_ill_injured,number_sub_doa,number_sub_not_found,point_found_count,medical_problems_subject,medical_problems_other_subject,medical_provider,medical_provider_other,year,male_female,sub_1,sub_2,sub_3,sub_4,sub_5,sub_total,state,children,seniors,mental,daylight,winter,helicopter,uav,fixed_wing,total_aircrafts,gps,time_bin
-105.6859,40.3027000000001,Rocky Mountain Region,"['Jefferson County ', ' Colorado']",,rescue,,2019/08/30 15:59:59+00,1.0,2.0,8.0,,,aircraft-helicopter,wilderness,,"forest, park, monument, blm",,1.0,hiking,,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,0.0,,,,,,2019,male,1.0,,,,,1.0,Colorado,0,0,0,1,0,1,0,0,1,0,0-11hr
-106.229332836,39.5423131430001,Rocky Mountain Region,"['Eagle County ', ' Colorado']",,search,,2019/01/23 23:15:00+00,1.0,11.0,66.0,,0.0,no,wilderness,,"forest, park, monument, blm",,1.0,snowmobiling,,24.0,male,good,good,none,normal,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,0.0,,,,,,2019,male,1.0,,,,,1.0,Colorado,0,0,0,0,1,0,0,0,0,0,32hours-7day
-106.220878513,39.5341383530001,Rocky Mountain Region,"['Eagle County ', ' Colorado']",,rescue,,2019/01/27 23:00:00+00,1.0,5.0,15.0,,,no,wilderness,,"forest, park, monument, blm",,2.0,snow_skiing,,34.0,male,good,poor,,,34.0,female,good,poor,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,,0.0,,,,,,2019,male female,1.0,1.0,,,,2.0,Colorado,0,0,0,0,1,0,0,0,0,0,11-32hr
-106.533860118,39.635179893,Rocky Mountain Region,"['Eagle County ', ' Colorado']",,rescue,,2019/06/08 19:15:00+00,1.0,6.0,18.0,,,no,water,,county,,1.0,boating,,36.0,male,good,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,0.0,,,,,,2019,male,1.0,,,,,1.0,Colorado,0,0,0,1,0,0,0,0,0,0,11-32hr
-111.74803,40.7544,Inter-Mountain Region,"['Salt Lake County ', ' Utah']",,rescue,,2020/01/04 21:35:00+00,1.0,18.0,31.0,,7.0,aircraft-helicopter,wilderness,,"forest, park, monument, blm",,1.0,hunting,,25.0,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,0.0,,,,,,2020,male,1.0,,,,,1.0,Utah,0,0,0,0,0,1,0,0,1,0,11-32hr
-111.6782,35.3294000000001,Desert Region,"['Coconino County ', ' Arizona']",,rescue,,2020/01/12 20:23:00+00,1.0,6.0,6.0,30.0,2.0,no,wilderness,,"forest, park, monument, blm",,2.0,snowboarding,,15.0,male,good,good,,,16.0,male,good,good,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,,0.0,,,,,,2020,male,1.0,1.0,,,,2.0,Arizona,1,1,0,1,1,0,0,0,0,0,0-11hr
-72.7788899999999,44.4321800000001,Appalachian Region,"['Lamoille County ', ' Vermont']",,rescue,,2020/01/10 15:30:00+00,1.0,6.0,12.0,,,no,wilderness,,state,,2.0,snowmobiling,,35.0,female,fair,poor,,,37.0,female,fair,poor,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,0.0,,"Trauma_Chest,Trauma_Abdomen,Trauma_Pelvis,Trauma_Extremities",,"SAR_team,Local_EMS",,2020,female,1.0,1.0,,,,2.0,Vermont,0,0,0,1,1,0,0,0,0,0,11-32hr
-105.96,39.39,Rocky Mountain Region,"['Park County ', ' Colorado']",,rescue,,2019/10/19 14:10:00+00,,6.0,8.0,116.0,0.0,no,urban_rural,,"forest, park, monument, blm",,1.0,four_wheel_driving,,,male,fair,fair,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,0.0,,,,"Local_Fire,Other",Flight For Life Helicopter,2019,male,1.0,,,,,1.0,Colorado,0,0,0,1,1,0,0,0,0,0,0-11hr
-105.92,39.3500000000001,Rocky Mountain Region,"['Park County ', ' Colorado']",,rescue,,2019/10/30 22:24:00+00,1.0,5.0,5.0,,0.0,no,urban_rural,,"forest, park, monument, blm",,1.0,four_wheel_driving,,,male,fair,fair,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,0.0,,,,,,2019,male,1.0,,,,,1.0,Colorado,0,0,0,0,1,0,0,0,0,0,0-11hr
-105.54,39.52,Rocky Mountain Region,"['Park County ', ' Colorado']",,search,,2019/11/20 19:28:00+00,1.0,5.0,9.0,146.0,0.0,no,urban_rural,,"forest, park, monument, blm",,1.0,hiking,,63.0,female,fair,good,none,normal,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,0.0,,,,,,2019,female,1.0,,,,,1.0,Colorado,0,0,0,1,1,0,0,0,0,0,0-11hr
